"filename", "language", "Cangjie", "comment", "blank", "total"
"c:\Users\13982\Desktop\CJCN\CangjieShopCore\src\test\order_view_model_test.cj", "Cangjie", 73, 0, 16, 89
"c:\Users\13982\Desktop\CJCN\CangjieShopCore\src\test\product_view_model_test.cj", "Cangjie", 0, 0, -2, -2
"c:\Users\13982\Desktop\CJCN\CangjieShopCore\src\view_model\order_view_model.cj", "Cangjie", 0, 0, -3, -3
"Total", "-", 73, 0, 11, 84
